source_id,file,status,notes
bass_a_take_1,bass_a_take_1_positive_01_event_00979.wav,disqualified,many notes
bass_a_take_1,bass_a_take_1_positive_02_event_00897.wav,disqualified,many notes
bass_a_take_2,bass_a_take_2_positive_01_event_01189.wav,disqualified,two notes
bass_a_take_2,bass_a_take_2_positive_02_event_00982.wav,usable,
bass_a_take_3,bass_a_take_3_positive_01_event_01696.wav,disqualified,two notes
bass_a_take_3,bass_a_take_3_positive_02_event_01688.wav,disqualified,two notes
bass_a_take_4,bass_a_take_4_positive_01_event_00811.wav,usable,
bass_a_take_4,bass_a_take_4_positive_02_event_00800.wav,usable,
bass_a_take_5,bass_a_take_5_positive_01_event_01452.wav,disqualified,duophonic
bass_a_take_5,bass_a_take_5_positive_02_event_00256.wav,disqualified,duophonic
bass_b_take_1,bass_b_take_1_positive_01_event_00608.wav,disqualified,many notes
bass_b_take_1,bass_b_take_1_positive_02_event_00100.wav,usable,
bass_b_take_2,bass_b_take_2_positive_01_event_01170.wav,disqualified,many notes
bass_b_take_2,bass_b_take_2_positive_02_event_00375.wav,usable,
bass_c_take_1,bass_c_take_1_positive_01_event_00036.wav,usable,
bass_c_take_1,bass_c_take_1_positive_02_event_00141.wav,usable,
bass_d_take_1,bass_d_take_1_positive_01_event_00053.wav,usable,
bass_d_take_1,bass_d_take_1_positive_02_event_00001.wav,usable,
